MGI.symbol,HGNC.symbol
L3mbtl1,L3MBTL1
Spag5,SPAG5
Eepd1,EEPD1
Selenoh,SELENOH
Zfp334,ZNF334
Olfr1258,OR4C46
Phactr1,PHACTR1
Ring1,RING1
Zfp518a,ZNF518A
Htr4,HTR4
Tbc1d19,TBC1D19
Zkscan5,ZKSCAN5
Pcx,PC
Rec8,REC8
Gabpb1,GABPB1
Smim17,SMIM17
Zfp521,ZNF521
Lsp1,LSP1
Fign,FIGN
Dlat,DLAT
4931406P16Rik,KIAA0355
Cfap58,CFAP58
Plcl1,PLCL1
Amot,AMOT
Pclaf,PCLAF
Abhd3,ABHD3
Myrf,MYRF
Pnpla2,PNPLA2
D130043K22Rik,KIAA0319
Tmem158,TMEM158
1810010H24Rik,C17orf58
Synb,ERVFRD-1
Fastkd2,FASTKD2
Fbxl13,FBXL13
Awat2,AWAT2
Pak3,PAK3
AU019823,NKAPD1
Hrh1,HRH1
Acap3,ACAP3
Zfp82,ZFP82
Proser2,PROSER2
Wdcp,WDCP
Sox8,SOX8
Tmem163,TMEM163
Mettl15,METTL15
Nefh,NEFH
Rxfp3,RXFP3
Vti1b,VTI1B
Il13ra2,IL13RA2
Mcc,MCC
Pon1,PON1
Psca,PSCA
Rptor,RPTOR
Spaca5,SPACA5
Spaca5,SPACA5B
Asmt,ASMT
Aspa,ASPA
Pamr1,PAMR1
Fam32a,FAM32A
Fads3,FADS3
Cryl1,CRYL1
Pof1b,POF1B
Pop4,POP4
Has2,HAS2
Fgf3,FGF3
Gm18336,PNMA6F
Gm18336,PNMA6E
Scgb3a1,SCGB3A1
Plch2,PLCH2
Fam24a,FAM24B
Fam24a,FAM24A
Dlc1,DLC1
Naxd,NAXD
Ppfibp1,PPFIBP1
Pgap1,PGAP1
Rpap1,RPAP1
Tbx20,TBX20
Phactr3,PHACTR3
Hck,HCK
Epc2,EPC2
Mettl21a,METTL21A
Cyfip1,CYFIP1
Angptl8,ANGPTL8
Focad,FOCAD
Haus3,HAUS3
Sntb1,SNTB1
Cox5b,COX5B
Dgke,DGKE
Zfp64,ZFP64
Pcdh7,PCDH7
Prl3d2,PRL
Zfp451,ZNF451
Sppl2b,SPPL2B
Pold2,POLD2
Cox19,COX19
Il17d,IL17D
Zfp382,ZNF382
2310035C23Rik,KIAA1468
Suv39h2,SUV39H2
Tg,TG
Tekt3,TEKT3
Spint1,SPINT1
Rph3al,RPH3AL
Rdh11,RDH11
Ppp2r5e,PPP2R5E
Dlg5,DLG5
Myoz1,MYOZ1
Sphkap,SPHKAP
Kif20b,KIF20B
Il21r,IL21R
Thoc5,THOC5
Cotl1,COTL1
Ttc25,TTC25
Dclre1c,DCLRE1C
Usp16,USP16
Sptbn1,SPTBN1
Fam110a,FAM110A
Adarb2,ADARB2
Abhd12b,ABHD12B
Zfp438,ZNF438
Tsc1,TSC1
E2f5,E2F5
Ybey,YBEY
Tmem145,TMEM145
Hs3st1,HS3ST1
C1qtnf1,C1QTNF1
Syna,ERVFRD-1
Gfra2,GFRA2
Gal3st1,GAL3ST1
Ptchd1,PTCHD1
Rps6ka4,RPS6KA4
Erg,ERG
Impg1,IMPG1
Swap70,SWAP70
Vwce,VWCE
Zfp655,ZNF655
Hspa14,HSPA14
Zfp953,ZNF92
Zfp953,ZNF195
Zfp953,ZNF506
Zfp953,ZNF253
Ceacam12,CEACAM7
Ceacam12,CEACAM6
Ceacam12,CEACAM5
Ceacam12,CEACAM3
Ceacam12,CEACAM1
Ceacam12,CEACAM8
Map3k15,MAP3K15
Pbld1,PBLD
Slc12a7,SLC12A7
Pp2d1,PP2D1
Hoga1,HOGA1
Ssh3,SSH3
Morn4,MORN4
Blcap,BLCAP
Dalrd3,DALRD3
Lhx6,LHX6
Odf1,ODF1
Rassf4,RASSF4
Psd,PSD
Serpinb9d,SERPINB9
Thap3,THAP3
Timm10,TIMM10
Dll4,DLL4
Bola3,BOLA3
Gpc4,GPC4
Rnf130,RNF130
Folh1,FOLH1
Adgra1,ADGRA1
Asphd1,ASPHD1
Gm20683,RHOT2
Zfp689,ZNF689
Olfr364-ps1,OR1L4
Olfr364-ps1,OR1L6
Fkbpl,FKBPL
Frmd6,FRMD6
Myo1c,MYO1C
Gm5065,LGALSL
Psg20,CEACAM7
Psg20,CEACAM6
Psg20,CEACAM5
Psg20,CEACAM3
Psg20,CEACAM1
Psg20,CEACAM8
Usp6nl,USP6NL
Prmt5,PRMT5
Limch1,LIMCH1
Mymx,MYMX
Phox2a,PHOX2A
Opn4,OPN4
Fgf8,FGF8
Tmc8,TMC8
Nkx3-2,NKX3-2
0610010F05Rik,KIAA1841
Pcnt,PCNT
Pdia4,PDIA4
Nbas,NBAS
Ube4a,UBE4A
Irgq,IRGQ
Tubb5,TUBB
Ets2,ETS2
Slc39a13,SLC39A13
Rbmx,RBMX
Extl3,EXTL3
Cbx2,CBX2
Mageb2,MAGEB6B
Mageb2,MAGEB6
Dck,DCK
Wdpcp,WDPCP
Cyp2b13,CYP2B6
Tuba3b,TUBA3E
Hepacam,HEPACAM
Clp1,CLP1
Klb,KLB
Daglb,DAGLB
Pcbd2,PCBD2
Olfr396-ps1,OR1E1
Olfr396-ps1,OR1E2
Pes1,PES1
Susd6,SUSD6
Gm867,C22orf15
Lrrc47,LRRC47
Rnf157,RNF157
1810013L24Rik,C16orf72
4930563D23Rik,C21orf140
Rab11fip2,RAB11FIP2
Ces1a,CES1
Txn2,TXN2
Tsr3,TSR3
Kif18a,KIF18A
Ndfip1,NDFIP1
Nipsnap1,NIPSNAP1
Olfr470,OR5P2
Prkcg,PRKCG
Top2a,TOP2A
Slc13a2,SLC13A2
Hagh,HAGH
Timm21,TIMM21
Slc44a2,SLC44A2
Pvr,PVR
Pafah1b2,PAFAH1B2
Clu,CLU
Praf2,PRAF2
Slc35b2,SLC35B2
Mlh1,MLH1
Zdhhc21,ZDHHC21
Tmem255a,TMEM255A
Psd2,PSD2
Rufy2,RUFY2
Usp39,USP39
Pitpna,PITPNA
Gm13769,OR4X2
Slc2a6,SLC2A6
Tpsb2,TPSB2
Tpsb2,TPSAB1
Tpsb2,TPSD1
Gja3,GJA3
Gspt1,GSPT1
Slc6a5,SLC6A5
H2-DMb2,HLA-DMB
Ubxn2a,UBXN2A
Esco1,ESCO1
Ube2e2,UBE2E2
Epm2aip1,EPM2AIP1
Gjb2,GJB2
Lpcat3,LPCAT3
Cdnf,CDNF
Myadm,MYADM
Snx18,SNX18
Smchd1,SMCHD1
Ern2,ERN2
Pkp3,PKP3
Lpl,LPL
Lasp1,LASP1
2310034G01Rik,C10orf95
Utp4,UTP4
Psmb11,PSMB11
Olfml1,OLFML1
Uqcc3,UQCC3
Pus10,PUS10
Ap1m2,AP1M2
Cdkn2b,CDKN2B
Ina,INA
Serpinb6a,SERPINB6
Chm,CHM
Olfr493,OR5P2
Nkap,NKAP
Tcta,TCTA
Kcnma1,KCNMA1
Krt6a,KRT6B
Krt6a,KRT6C
Krt6a,KRT6A
Spty2d1,SPTY2D1
Wdr81,WDR81
Cbwd1,CBWD6
Gtf2f2,GTF2F2
Slc16a6,SLC16A6
Cbx8,CBX8
Rock1,ROCK1
Psmb8,PSMB8
Pax3,PAX3
Trim21,TRIM21
Hs3st4,HS3ST4
Olfr1260,OR4C5
Edc4,EDC4
Cdh17,CDH17
Wbp4,WBP4
Sat1,SAT1
Chtf8,CHTF8
Nup210,NUP210
Rcan1,RCAN1
Gm5751,SSX5
Gm5751,SSX1
Gm5751,SSX3
Gm5751,SSX4
Gm5751,SSX4B
Vmn1r234,VN1R4
Thbs2,THBS2
Sox5,SOX5
Fam221b,FAM221B
Acaca,ACACA
Ints11,INTS11
Tmprss9,TMPRSS9
Sec61a2,SEC61A2
Wars,WARS
Usmg5,ATP5MD
Arl5b,ARL5B
Kctd20,KCTD20
Cyp2b19,CYP2B6
Cryba4,CRYBA4
Hoxb8,HOXB8
Slc6a2,SLC6A2
Dpy19l1,DPY19L1
Mylk4,MYLK4
Alppl2,ALPP
Alppl2,ALPPL2
Alppl2,ALPI
Zfp747,ZNF747
Zfp747,ZNF764
Edn3,EDN3
Blnk,BLNK
Itga8,ITGA8
Pex2,PEX2
A430005L14Rik,C1orf174
Sirpa,SIRPG
Sirpa,SIRPA
Taf2,TAF2
Trpa1,TRPA1
Adcy3,ADCY3
Gfi1b,GFI1B
Ccdc126,CCDC126
Tet3,TET3
Fbxw11,FBXW11
Cadm4,CADM4
Msmp,MSMP
Tpd52l2,TPD52L2
Cox6b1,COX6B1
Oxsr1,OXSR1
Ccnt2,CCNT2
Casz1,CASZ1
Satb2,SATB2
Srpr,SRPRA
Plcb2,PLCB2
A4galt,A4GALT
Zfp526,ZNF526
Mapk15,MAPK15
Tnnt3,TNNT3
Mdc1,MDC1
Ybx3,YBX3
Irgm2,IRGM
Ttc23l,TTC23L
Zhx2,ZHX2
Susd1,SUSD1
Brpf1,BRPF1
Smim23,SMIM23
Ccdc34,CCDC34
Dmrtc1b,DMRTC1B
Dmrtc1b,DMRTC1
Uxt,UXT
Gtdc1,GTDC1
Top1,TOP1
Nin,NIN
Ccdc186,CCDC186
Eef1d,EEF1D
Wfdc1,WFDC1
Arpc1b,ARPC1B
Myo10,MYO10
Trpv3,TRPV3
Crkl,CRKL
Txlng,TXLNG
Tll2,TLL2
Zfp935,ZNF625-ZNF20
Tmem185b,TMEM185B
Csmd1,CSMD1
Nde1,NDE1
Sirpb1a,SIRPG
Sirpb1a,SIRPA
Cobll1,COBLL1
Sdr16c5,SDR16C5
Olfr351,OR1N1
Rnf215,RNF215
Vnn1,VNN1
Psg23,CEACAM7
Psg23,CEACAM6
Psg23,CEACAM5
Psg23,CEACAM3
Psg23,CEACAM1
Psg23,CEACAM8
Tprkb,TPRKB
Tmc7,TMC7
Utf1,UTF1
Dhx29,DHX29
Stx1b,STX1B
Nptn,NPTN
Gm35339,WDR97
Ccdc97,CCDC97
Fam228a,FAM228A
Mrpl28,MRPL28
Rhpn1,RHPN1
Fam107b,FAM107B
Col27a1,COL27A1
Tulp2,TULP2
Ceacam5,CEACAM7
Ceacam5,CEACAM6
Ceacam5,CEACAM5
Ceacam5,CEACAM3
Ceacam5,CEACAM1
Ceacam5,CEACAM8
Zfp276,ZNF276
Zkscan2,ZKSCAN2
1110017D15Rik,C9orf24
Ccdc88b,CCDC88B
Pdf,PDF
Cidea,CIDEA
Aven,AVEN
D16Ertd472e,C21orf91
Magix,MAGIX
Decr2,DECR2
4930402H24Rik,C20orf194
Ccne1,CCNE1
Zfx,ZFX
Slc1a2,SLC1A2
Olfr552,OR52K2
Olfr552,OR52K1
Map4k2,MAP4K2
Zcchc24,ZCCHC24
Scgb1c1,SCGB1C2
Igbp1,IGBP1
Anapc16,ANAPC16
Tmem229b,TMEM229B
Usp37,USP37
Glcci1,GLCCI1
Sez6l,SEZ6L
Asphd2,ASPHD2
Ptp4a1,PTP4A1
Lrrc25,LRRC25
Gsk3a,GSK3A
Nsd1,NSD1
Poldip3,POLDIP3
Spi1,SPI1
Mef2b,MEF2B
Fgfr1op,FGFR1OP
Zfp719,ZNF81
Gaa,GAA
Rrp36,RRP36
Ssr4,SSR4
Fam92a,FAM92A
Fut7,FUT7
Gm5150,SIRPG
Gm5150,SIRPA
Meig1,MEIG1
Hkdc1,HKDC1
Ankrd10,ANKRD10
Orc6,ORC6
Zcchc3,ZCCHC3
Mars2,MARS2
Prr19,PRR19
Lonrf1,LONRF1
Hspa5,HSPA5
Spred3,SPRED3
Dcps,DCPS
Xdh,XDH
Glud1,GLUD1
Nr2f6,NR2F6
Ndufa1,NDUFA1
Cd209c,CD209
Cd209c,CLEC4M
Grm3,GRM3
Dcxr,DCXR
Olfr384,OR1E1
Olfr384,OR1E2
Vwa2,VWA2
Zkscan14,ZNF394
Dct,DCT
Pole3,POLE3
D5Ertd579e,KIAA0232
Tmem91,TMEM91
Tmem52,TMEM52
C2cd5,C2CD5
Ppp2r2a,PPP2R2A
Tas2r104,TAS2R10
Tmed4,TMED4
Tbx1,TBX1
0610030E20Rik,C2orf68
Akp3,ALPP
Akp3,ALPPL2
Akp3,ALPI
Atp5l,ATP5MGL
Atp5l,ATP5MG
Myo6,MYO6
Mrrf,MRRF
Fmnl2,FMNL2
Bag2,BAG2
Sufu,SUFU
Sh3bgrl,SH3BGRL
Mep1b,MEP1B
Cars2,CARS2
Pde3a,PDE3A
Clpb,CLPB
Gm4884,C2orf78
Trub2,TRUB2
Lyrm7,LYRM7
Itih5,ITIH5
Myo1a,MYO1A
Mzf1,MZF1
Mpped2,MPPED2
Qdpr,QDPR
Olfr1263,OR4C45
Gm6592,SSX5
Gm6592,SSX1
Gm6592,SSX3
Gm6592,SSX4
Gm6592,SSX4B
Taf4b,TAF4B
Ebf2,EBF2
Clec3b,CLEC3B
Impa2,IMPA2
Ighv6-5,IGHV3OR15-7
Fam206a,FAM206A
Rnf181,RNF181
Steap1,STEAP1
Clec4g,CLEC4G
Slc6a18,SLC6A18
Lins1,LINS1
Eapp,EAPP
Ddx3y,DDX3Y
Arhgap36,ARHGAP36
Sri,SRI
Tas2r124,TAS2R13
Bcas3,BCAS3
Man2a1,MAN2A1
Krt222,KRT222
Bud31,BUD31
1700021F05Rik,C6orf203
Nectin1,NECTIN1
Fbxl14,FBXL14
2610028H24Rik,C21orf58
Mrpl2,MRPL2
Zfp831,ZNF831
Slc35a4,SLC35A4
Scn3a,SCN3A
Romo1,ROMO1
Slc27a2,SLC27A2
Hdgfl1,HDGFL1
Bend6,BEND6
Wfs1,WFS1
Fitm1,FITM1
Olfr392,OR1E1
Olfr392,OR1E2
Cog1,COG1
Cd3d,CD3D
Dpysl5,DPYSL5
Sik1,SIK1B
Sik1,SIK1
Zdhhc1,ZDHHC1
Evi5l,EVI5L
Igkv8-28,IGKV3OR2-268
Leap2,LEAP2
Thy1,THY1
Tns1,TNS1
Nanog,NANOG
Hacd4,HACD4
4930524B15Rik,C5orf47
Ccl6,CCL15
Ccl6,CCL15-CCL14
Ccl6,CCL23
Plcl2,PLCL2
Hsf5,HSF5
Krt6b,KRT6B
Krt6b,KRT6C
Krt6b,KRT6A
Sh3pxd2b,SH3PXD2B
Ubtd1,UBTD1
Proser1,PROSER1
Gm5478,KRT6B
Gm5478,KRT6C
Gm5478,KRT6A
Defb28,DEFB115
Htt,HTT
Slc25a47,SLC25A47
Gpx1,GPX1
Olfr520,OR2AT4
Foxo1,FOXO1
Gpc6,GPC6
Gm5426,ATP5MGL
Gm5426,ATP5MG
Atf7ip2,ATF7IP2
Nhlrc3,NHLRC3
Snx12,SNX12
Tial1,TIAL1
Rad23a,RAD23A
Spata31d1b,SPATA31D3
Spata31d1b,SPATA31D4
Spata31d1b,SPATA31D1
Upf2,UPF2
Tmem170b,TMEM170B
Hps4,HPS4
Ovch2,OVCH2
Adamts17,ADAMTS17
C2cd2,C2CD2
Folr1,FOLR1
Chp1,CHP1
Serpinb9,SERPINB9
Amph,AMPH
Sstr2,SSTR2
Rhbdl1,RHBDL1
Emg1,EMG1
Cyp2f2,CYP2F1
Sephs2,SEPHS2
Syt12,SYT12
Slc25a20,SLC25A20
Pex13,PEX13
Pdcl3,PDCL3
Tmed10,TMED10
Pygo1,PYGO1
Nsmce1,NSMCE1
Cul1,CUL1
Rtn4ip1,RTN4IP1
Inpp4a,INPP4A
Zfp78,ZNF471
Mical3,MICAL3
Wdr90,WDR90
Cyb5r2,CYB5R2
Myb,MYB
Afap1,AFAP1
Sec14l2,SEC14L2
Asph,ASPH
Slc23a1,SLC23A1
Evi2,EVI2B
Hecw2,HECW2
Serpinb9c,SERPINB9
Cyp2b9,CYP2B6
Fkbp14,FKBP14
Irs4,IRS4
Pxt1,PXT1
Malrd1,MALRD1
Npas2,NPAS2
Bod1l,BOD1L1
Dgkk,DGKK
C1qtnf3,C1QTNF3
C1qtnf3,C1QTNF3-AMACR
Amdhd2,AMDHD2
Olfr357,OR1Q1
Rgs12,RGS12
Ppwd1,PPWD1
Dmrt3,DMRT3
Map3k7cl,MAP3K7CL
Kmt5c,KMT5C
Crhbp,CRHBP
Ldb2,LDB2
Baiap2,BAIAP2
Oard1,OARD1
Hoxb7,HOXB7
Pfkp,PFKP
Ccdc157,CCDC157
Psg29,CEACAM7
Psg29,CEACAM6
Psg29,CEACAM5
Psg29,CEACAM3
Psg29,CEACAM1
Psg29,CEACAM8
Aatk,AATK
Yy1,YY1
Thap11,THAP11
Fyb,FYB1
Stk11ip,STK11IP
1700001C02Rik,C2orf70
Prl2c5,PRL
Smim13,SMIM13
Pxdn,PXDN
Zfp804b,ZNF804B
Neu3,NEU3
Elp6,ELP6
Wdr27,WDR27
Derl3,DERL3
Iqub,IQUB
Nyap1,NYAP1
Nedd9,NEDD9
Myh11,MYH11
Tram1,TRAM1
Mpzl2,MPZL2
Olfr1255,OR4C12
Arhgdia,ARHGDIA
Ammecr1,AMMECR1
Igsf21,IGSF21
Adamts19,ADAMTS19
Klhl14,KLHL14
Stard8,STARD8
Slc22a14,SLC22A14
Prelid3b,PRELID3B
Rhod,RHOD
Nol7,NOL7
Xpo5,XPO5
Sgce,SGCE
Tns3,TNS3
Brd2,BRD2
Ldlrad3,LDLRAD3
Nat8f7,NAT8
Adtrp,ADTRP
Gclc,GCLC
Olfr20,OR1E1
Olfr20,OR1E2
Inha,INHA
Tert,TERT
As3mt,AS3MT
Dus2,DUS2
Dusp15,DUSP15
Nkd2,NKD2
Lbhd1,LBHD1
Btf3,BTF3
Olfr485,OR5P2
Cwc25,CWC25
Nipa1,NIPA1
Myh14,MYH14
Arx,ARX
Fam196b,FAM196B
Dnmbp,DNMBP
Olfr508,OR5P3
Tsga10,TSGA10
Cracr2b,CRACR2B
Ttc30a1,TTC30A
Ninj1,NINJ1
Cyp2b23,CYP2B6
Gm10031,CSNK2A3
Cdk5r1,CDK5R1
Ibtk,IBTK
Gca,GCA
Adam8,ADAM8
Pfdn6,PFDN6
Polr2l,POLR2L
Bcas1,BCAS1
Cd5,CD5
Actl7b,ACTL7B
Cnih1,CNIH1
Dscam,DSCAM
Alkbh8,ALKBH8
Eif5a,EIF5AL1
Tmem51,TMEM51
Znrf3,ZNRF3
Dnajb2,DNAJB2
Daw1,DAW1
Fen1,FEN1
Efnb1,EFNB1
Tnfsfm13,TNFSF12-TNFSF13
Defb47,DEFB130A
Fam3b,FAM3B
Ntrk2,NTRK2
Man2b2,MAN2B2
Zmym4,ZMYM4
Zfp217,ZNF217
Snx29,SNX29
Hoxb5,HOXB5
Mageb5,MAGEB5
B4gat1,B4GAT1
Trim9,TRIM9
Urm1,URM1
Ccdc166,CCDC166
Mafb,MAFB
Ncoa1,NCOA1
Evi2b,EVI2B
2610044O15Rik8,ZNF625-ZNF20
Cyp4f39,CYP4F22
Npepps,NPEPPS
Rac3,RAC3
Nol9,NOL9
Abhd6,ABHD6
Pth,PTH
Leng1,LENG1
Senp3,SENP3-EIF4A1
Senp3,SENP3
Spats1,SPATS1
Itpa,ITPA
Dffb,DFFB
Lhfpl1,LHFPL1
Psmc3,PSMC3
Mllt1,MLLT1
Gjb6,GJB6
Frem2,FREM2
Sltm,SLTM
Cxcl17,CXCL17
Cgrrf1,CGRRF1
Trim16,TRIM16
Nr1d2,NR1D2
Dnah9,DNAH9
Xkr9,XKR9
Nat8f4,NAT8
Slc37a2,SLC37A2
Garem1,GAREM1
Krt86,KRT83
Mrpl48,MRPL48
Chchd7,CHCHD7
Tjap1,TJAP1
Mettl17,METTL17
Il2rg,IL2RG
Cd248,CD248
Ntf3,NTF3
Slc39a7,SLC39A7
Slc25a15,SLC25A15
Usp9y,USP9Y
Peg3,PEG3
Sap18,SAP18
Cep85l,CEP85L
Plcg1,PLCG1
Rps15a,RPS15A
Hmga1,HMGA1
Krt32,KRT32
Matr3,MATR3
Snf8,SNF8
Olfr507,OR5P2
Gpx3,GPX3
Cspg5,CSPG5
Tfdp1,TFDP3
Zbtb24,ZBTB24
Npb,NPB
Il12b,IL12B
Ins1,INS
Taar9,TAAR9
Sp140,SP140
Rergl,RERGL
Tra2a,TRA2A
Eya1,EYA1
Cdh18,CDH18
Tmem238,TMEM238
Maf1,MAF1
Hspb3,HSPB3
Tcte1,TCTE1
Psg28,CEACAM7
Psg28,CEACAM6
Psg28,CEACAM5
Psg28,CEACAM3
Psg28,CEACAM1
Psg28,CEACAM8
Kynu,KYNU
Fadd,FADD
Lmod2,LMOD2
Mical1,MICAL1
Tecrl,TECRL
Yes1,YES1
Slc13a5,SLC13A5
Tubg1,TUBG1
Htr7,HTR7
Cyp20a1,CYP20A1
Pigs,PIGS
Gm4353,NUP35
Gp1bb,GP1BB
Bod1,BOD1
Cnot3,CNOT3
Tm9sf3,TM9SF3
Cyc1,CYC1
Atp5k,ATP5ME
Mybpc3,MYBPC3
Rac1,RAC1
Fhad1,FHAD1
Mgat4a,MGAT4A
Rimbp3,RIMBP3
Syk,SYK
Wdhd1,WDHD1
Pknox2,PKNOX2
Nhlrc1,NHLRC1
Cep89,CEP89
Atp1b4,ATP1B4
Anapc11,ANAPC11
Rps18,RPS18
Ranbp10,RANBP10
Grid1,GRID1
Gtf3c4,GTF3C4
Acsm4,ACSM4
Pdp1,PDP1
Sema6d,SEMA6D
Ndufs4,NDUFS4
Adam22,ADAM22
Kcnj2,KCNJ2
Aatf,AATF
Cdh7,CDH7
Bag6,BAG6
Spata13,SPATA13
Ecel1,ECEL1
Zc2hc1c,ZC2HC1C
Dcakd,DCAKD
Mrps31,MRPS31
Defb22,DEFB126
Rps6ka6,RPS6KA6
Scara5,SCARA5
Spry4,SPRY4
BC049352,SMIM35
Fig4,FIG4
Slc35f6,SLC35F6
Nup155,NUP155
Necab1,NECAB1
Ppt2,PPT2-EGFL8
Ppt2,PPT2
Slc6a14,SLC6A14
Adap1,ADAP1
Ssxb9,SSX5
Ssxb9,SSX1
Ssxb9,SSX3
Ssxb9,SSX4
Ssxb9,SSX4B
Gm14459,SSX5
Gm14459,SSX1
Gm14459,SSX3
Gm14459,SSX4
Gm14459,SSX4B
Dhodh,DHODH
Alox12,ALOX12
Slc28a3,SLC28A3
Sigirr,SIGIRR
Sntg1,SNTG1
Rsl1d1,RSL1D1
Pck2,PCK2
Galm,GALM
Zap70,ZAP70
Prrc2a,PRRC2A
Sall4,SALL4
Sftpb,SFTPB
Pank3,PANK3
Apobec2,APOBEC2
Gnb1l,GNB1L
Mapk13,MAPK13
Mia2,CTAGE1
Limd1,LIMD1
Rnf111,RNF111
Zgpat,ZGPAT
Bmp15,BMP15
Nnat,NNAT
Kcnk4,KCNK4
B3galt4,B3GALT4
Zfp715,ZNF81
Tas2r109,TAS2R14
Mapk6,MAPK6
Arsg,ARSG
Rap2c,RAP2C
Cyp4f18,CYP4F3
Kank3,KANK3
Krt87,KRT83
Snph,SNPH
8430408G22Rik,DEPP1
Nrg2,NRG2
Smarce1,SMARCE1
P2ry4,P2RY4
Tff3,TFF3
Dmrt2,DMRT2
Dhx35,DHX35
Wdr11,WDR11
Sorcs3,SORCS3
4930539E08Rik,C6orf222
Gzma,GZMA
Smim10l1,SMIM10L1
Mettl8,METTL8
Mrps6,MRPS6
Pithd1,PITHD1
Pcgf6,PCGF6
Dnm1,DNM1
Pbld2,PBLD
Mrgbp,MRGBP
Steap4,STEAP4
Rnf126,RNF126
Zbtb48,ZBTB48
Tex11,TEX11
Myo1b,MYO1B
Sacm1l,SACM1L
2010300C02Rik,KIAA1211L
Prkra,PRKRA
Ptpdc1,PTPDC1
Tas2r113,TAS2R14
Keap1,KEAP1
Hdc,HDC
Ly6g6c,LY6G6C
Fbp1,FBP1
Diras2,DIRAS2
Fam184b,FAM184B
Lamp2,LAMP2
Parp10,PARP10
Efna5,EFNA5
Gm11437,C17orf78
Mdh1,MDH1
Ppia,PPIA
9530077C05Rik,KIAA0895
Stambp,STAMBP
Slc45a4,SLC45A4
Serpinb6b,SERPINB6
Armcx5,ARMCX5
Hoxb2,HOXB2
Rasgef1b,RASGEF1B
Myt1l,MYT1L
Eef1akmt1,EEF1AKMT1
Gcm1,GCM1
Myd88,MYD88
Mex3c,MEX3C
Olfr1261,OR4C45
Capn13,CAPN13
Cldn5,CLDN5
Zic3,ZIC3
Pnrc2,PNRC2
Fstl3,FSTL3
Vpreb3,VPREB3
Plcd4,PLCD4
Col3a1,COL3A1
Rhoj,RHOJ
Esrra,ESRRA
Cdkn2d,CDKN2D
Acer2,ACER2
Lime1,LIME1
Grid2ip,GRID2IP
Clic6,CLIC6
Cdc42ep4,CDC42EP4
Slc8a3,SLC8A3
Pold1,POLD1
Neto1,NETO1
Pknox1,PKNOX1
Terf1,TERF1
Fam20a,FAM20A
Hacd3,HACD3
Olfr1253,OR4A8
Olfr1253,OR4A5
Txnrd2,TXNRD2
Mfsd7a,SLC49A3
Deptor,DEPTOR
Mageb4,MAGEB2
Mageb4,MAGEB4
Mageb4,MAGEB1
Vmn1r236,VN1R4
Rbm12b2,RBM12B
Olfr410,OR3A1
Akap14,AKAP14
Kank2,KANK2
Htatsf1,HTATSF1
Scn11a,SCN11A
Mpdu1,MPDU1
Kif23,KIF23
Mansc4,MANSC4
Tsc22d1,TSC22D1
Hivep1,HIVEP1
Satb1,SATB1
Cdk15,CDK15
Rbbp7,RBBP7
Pjvk,PJVK
Dscc1,DSCC1
Krt84,KRT84
Cyb5d2,CYB5D2
Lims1,LIMS3
Gm21983,MIA-RAB4B
Gm21983,MIA
Fbn2,FBN2
Igflr1,IGFLR1
Mapk1ip1,MAPK1IP1L
Fgf18,FGF18
Kcne1l,KCNE5
Pax7,PAX7
Gm27179,ERVFRD-1
Frzb,FRZB
Sat2,SAT2
Foxk2,FOXK2
1700001P01Rik,C17orf98
Acbd7,ACBD7
Dusp14,DUSP14
Papss2,PAPSS2
9130019O22Rik,ZNF747
9130019O22Rik,ZNF764
Irak1bp1,IRAK1BP1
Pnma3,PNMA3
Nlgn3,NLGN3
Anxa11,ANXA11
Cabcoco1,CABCOCO1
Cd40lg,CD40LG
Atp6v0d1,ATP6V0D1
D1Ertd622e,C5orf30
Nthl1,NTHL1
Kcnv1,KCNV1
Spc24,SPC24
Fam169a,FAM169A
Nudt3,NUDT3
Kri1,KRI1
L1cam,L1CAM
Vapa,VAPA
Jkamp,JKAMP
Plekhm1,PLEKHM1
Rnf169,RNF169
Spata32,SPATA32
Zeb1,ZEB1
Cidec,CIDEC
Adamts13,ADAMTS13
Slc17a9,SLC17A9
Trim25,TRIM25
Tas2r130,TAS2R7
Eif4a1,EIF4A1
Cfap44,CFAP44
Fchsd2,FCHSD2
Klhl42,KLHL42
Shisa5,SHISA5
Prtg,PRTG
Ankdd1b,ANKDD1B
Mzt2,MZT2B
Plpp4,PLPP4
Galnt15,GALNT15
Tyw1,TYW1B
Opalin,OPALIN
Wipi1,WIPI1
Tmem8,TMEM8A
Adam10,ADAM10
Slc32a1,SLC32A1
H2-DMb1,HLA-DMB
Pla2g16,PLA2G16
Il15ra,IL15RA
Phf20l1,PHF20L1
Zcchc2,ZCCHC2
Ly6k,LY6K
Nfkb2,NFKB2
Hsh2d,HSH2D
Ptdss1,PTDSS1
Igfbp1,IGFBP1
Mrps35,MRPS35
4930430A15Rik,ANKRD36B
4930430A15Rik,ANKRD62
4930430A15Rik,POTEC
4930430A15Rik,ANKRD30B
4930430A15Rik,ANKRD20A8P
4930430A15Rik,ANKRD20A3
Map1lc3a,MAP1LC3A
Ypel4,YPEL4
Rplp1,RPLP1
BC005624,C9orf78
Dnajc10,DNAJC10
Lhcgr,LHCGR
Ggact,GGACT
Sptan1,SPTAN1
Nr2c2ap,NR2C2AP
Fgf15,FGF19
Ap1b1,AP1B1
Atic,ATIC
Dnaic1,DNAI1
Meiob,MEIOB
Adcy1,ADCY1
